# Gray-zone verdicts for pack-fr-it — external LLM judge campaign, 2026-07-28.
# Judged by Claude (Fable 5): three parallel judges over the fabrication report
# worksheet (form, masking cost, distance-1 base neighbors with frequencies),
# family splits arbitrated by the supervising judge (notes marked "arbitrated").
# Rubric: admit a genuine, plausibly-typed French IT term whose neighbors are
# unlikely typo sources; exclude noise, never-typed coinages, and forms one
# plausible slip from a common base word; uncertainty resolves to exclude.
# form<TAB>admit|exclude<TAB>note
aad	exclude	acronym typed uppercase in practice; lowercase form rare and collides with several short words
ack	admit	real dev shorthand; all neighbors under 10 opm
acks	admit	plausible networking plural in French dev prose; yacks rare with y-deletion only
acl	admit	genuine IT term typed lowercase in practice; all neighbors under 10 opm
adas	exclude	rare acronym, uppercase if ever; amas nearby
admin	admit	essential daily IT term; admis s-to-n substitution implausible, disjoint contexts
admins	admit	daily IT plural; admis n-insertion slip unlikely, disjoint contexts
adonnons	exclude	not IT vocabulary and rare reflexive-context form; donnons 6.7 opm one insertion away
agender	exclude	Swiss regionalism for scheduling, not IT vocabulary
agendé	admit	genuine Swiss/Belgian professional verb form; agenda final-letter slip implausible
alphas	admit	common plural (alpha versions); trailing-s inflection legitimately typed
anglets	exclude	not an IT term; angles 10.7 opm one insertion away
apl	exclude	archaic language nobody types lowercase in French IT prose
apps	admit	extremely common term; appas archaic and disjoint
arité	admit	genuine CS term (arity); agité 9.9 opm below threshold and slip semi-plausible only
arités	exclude	rare academic plural; agités 4.1 opm one diagonal g/r slip away
arrobe	admit	official dictionary term for the at sign; arrose slip s-to-b not adjacent
arrosages	exclude	gardening plural, not IT vocabulary
assemblies	admit	typed as-is in French .NET prose; assemblées slip é-to-i not adjacent
assembly	admit	standard term in French IT prose (langage assembly, .NET assembly); neighbors near 1 opm
assignez	admit	legitimate form of assigner, common in ticketing prose; neighbors same lemma
audios	admit	widely typed plural (fichiers audios); neighbor same lemma
automagique	exclude	deliberate rare wordplay; automatique one plausible adjacent t-to-g slip away, protect its correction
automagiques	exclude	jokey rarity, and automatiques t-to-g is a plausible AZERTY slip that would be shielded
babasser	exclude	archaic slang verb nobody types; tabasser 4.9 opm one substitution away
babassé	exclude	archaic slang participle; tabassé 3.6 opm one substitution away
balado	admit	official Quebec term for podcast; balade e-to-o substitution implausible
balados	admit	established Quebec French plural for podcasts; balades slip e-to-o not adjacent
beug	admit	common colloquial francization of bug; all neighbors low-frequency
beugs	admit	real colloquial francization of bugs; e-insertion slip only moderately plausible and neighbor under 2 opm
beuguant	admit	participle of established colloquial beuguer; beuglant l/u substitution not adjacent
binons	exclude	improbable inflection nobody types; bidons nearby
blogage	exclude	hyper-rare coinage; blocage one substitution away
blogs	admit	daily vocabulary; blocs c-to-g substitution implausible
bloguant	admit	legitimate participle of bloguer; bloquant under 2 opm, g/q not adjacent
bloguer	admit	dictionary French verb; bloquer slip g-to-q not adjacent
blogues	admit	standard francization of blogs (Quebec norm); blagues a-to-o substitution implausible
bloguez	admit	regular form of dictionary verb bloguer; bloquez slip g-to-q not adjacent
blogué	admit	established verb bloguer; bloqué g-to-q substitution implausible on both layouts
bnf	admit	real acronym for BNF grammar and the library; bof slip o-to-n not adjacent
botnet	admit	established security term; bonnet n-to-t substitution implausible, disjoint contexts
botnets	admit	genuine security term; bonnets slip n-to-t not adjacent
bourriquer	exclude	rare dialectal verb nobody types, not IT; bourrique nearby
bourriquez	exclude	rare dialectal verb form, not IT; bourrique nearby
bourriqué	exclude	Wiktionary noise, not IT; shields bourrique typos
bugger	admit	common dev slang infinitive (ça va bugger); burger substitution not adjacent
bugué	admit	extremely common French dev term; fugué f/b substitution not adjacent
canulard	exclude	misspelling of canular, must stay correctable
castant	admit	plausible gerund of caster in dev and streaming French; cassant slip not adjacent
castez	exclude	improbable imperative of marginal verb; cassez nearby
castons	exclude	improbable first-person inflection nobody types; cartons 10.1 opm nearby
casts	admit	real dev speech (faire des casts); all neighbors under 10 opm
catènes	exclude	rare linguistics term, not IT vocabulary
cbor	admit	established data format (RFC 8949) typed in tech prose; cor-to-cbor b insertion implausible
