nom,module,categorie,defaut,source,juin,doute,min,max,pas,unite,surface,regle-proposee,note-agent,verdict,commentaire
DefaultBackoff,Deckle.Anytype,tuning-constant,TimeSpan.FromSeconds(1),src/Deckle.Anytype/Api/AnytypeApiClient.cs:40,non,Fallback only: used when the response omits Retry-After.,,,,s,aucune,1-robustesse,Retry backoff fallback used only when Retry-After is absent; pure robustness bound.,,
DefaultBaseUrl,Deckle.Anytype,tuning-constant,"""http://127.0.0.1:31012""",src/Deckle.Anytype/Backend/BackendHealthProbe.cs:22,non,,,,,,aucune,3-personnalisation,Local backend endpoint; ports and local endpoints are explicitly personalization territory.,,
ExecutablePath,Deckle.Anytype,tuning-constant,"Path.Combine(InstallDirectory, ""anytype.exe"")",src/Deckle.Anytype/Backend/BackendInstallation.cs:26,non,"Derived, not a constant: the real exposable is InstallDirectory (same file, line 22) which the sweep missed. Kept as the pointer to it.",,,,,aucune,3-personnalisation,"Pointer to InstallDirectory, an install location a user may legitimately relocate.",,
InitialBackoff,Deckle.Anytype,tuning-constant,TimeSpan.FromMilliseconds(25),src/Deckle.Anytype/Api/SpaceWriteLock.cs:29,non,Cross-process lock poll cadence; perceivable only as write latency under contention.,,,,ms,aucune,1-robustesse,"Cross-process lock poll cadence, an internal backoff bound.",,
MaxBackoff,Deckle.Anytype,tuning-constant,TimeSpan.FromMilliseconds(200),src/Deckle.Anytype/Api/SpaceWriteLock.cs:30,non,Same doubt as InitialBackoff; the pair moves together.,,,,ms,aucune,1-robustesse,Upper bound of the same lock backoff pair; moves with InitialBackoff.,,
MaxPreviews,Deckle.Anytype,tuning-constant,32,src/Deckle.Anytype/Gestures/SchemaPreviewStore.cs:5,non,,,,,count,aucune,1-robustesse,"Internal store capacity, a buffer-size bound.",,
MaxRetries,Deckle.Anytype,tuning-constant,1,src/Deckle.Anytype/Api/AnytypeApiClient.cs:39,non,,,,,count,aucune,1-robustesse,"Retry attempt count, textbook robustness constant.",,
PreviewLifetime,Deckle.Anytype,tuning-constant,TimeSpan.FromMinutes(15),src/Deckle.Anytype/Gestures/SchemaPreviewStore.cs:6,non,Perceivable: a schema preview silently expires past this window.,,,,min,aucune,1-robustesse,"Internal expiry window of a transient store; perceivable but a recovery/lifetime bound, not taste.",,
ProbeInterval,Deckle.Anytype,tuning-constant,TimeSpan.FromMilliseconds(500),src/Deckle.Anytype/Backend/BackendSupervisor.cs:46,non,,,,,ms,aucune,1-robustesse,"Health-probe cadence, internal robustness.",,
ProbeTimeout,Deckle.Anytype,tuning-constant,TimeSpan.FromSeconds(2),src/Deckle.Anytype/Backend/BackendHealthProbe.cs:28,non,,,,,s,aucune,1-robustesse,"Probe timeout, internal robustness.",,
