# Gray-zone verdicts for pack-en-it — external LLM judge campaign, 2026-07-29.
# Judged by Claude (Fable 5): three parallel judges over the fabrication report
# worksheet (form, masking cost, distance-1 French base neighbors with
# frequencies), merged by the supervising judge (notes marked "arbitrated").
# Rubric: this pack is protection-only under a French primary lexicon, so an
# admitted form is merely never auto-corrected. Admit real English computing
# vocabulary a French user plausibly types, when neighbors and masking cost make
# an accidental slip toward it implausible; exclude Wiktionary noise, never-typed
# coinages, and any form one plausible slip from a French word that must stay
# correctable; uncertainty resolves to exclude.
# form<TAB>admit|exclude<TAB>note
abap	exclude	SAP language name written uppercase
abcs	exclude	not computing vocabulary
abort	admit	core IT verb (abort a transaction); abord t/d substitution not a keyboard slip
aborts	admit	standard inflection, aligned with abort; abords t/d substitution not a keyboard slip
abstract	admit	core dev keyword typed daily; French neighbors need two or more edits
abstracts	exclude	generic English plural, not distinctive IT vocabulary
acats	exclude	junk acronym plural
acl	admit	genuine IT term typed lowercase in practice; neighbors weak
acm	exclude	organization acronym typed uppercase, not lowercase vocabulary
acquire	exclude	French writes acquérir; weak necessity
acquires	exclude	marginal English verb form
adaptee	exclude	French adaptee with the accent dropped, a common participle that must stay correctable
adb	admit	Android tooling command typed lowercase daily; neighbors negligible
add	admit	git subcommand typed constantly; masking low and neighbors weak
addresses	exclude	the classic doubled-d confusion with French adresses, must stay correctable
adds	exclude	generic English verb form, not distinctive IT vocabulary
adf	exclude	ambiguous acronym
adfs	exclude	niche Microsoft acronym typed uppercase
adl	exclude	nonce acronym
adlet	exclude	nonce coinage, never typed
adlets	exclude	nonce/junk string
adls	exclude	acronym-plural debris
admin	admit	essential daily IT term; admis s-to-n substitution implausible, disjoint contexts
administratour	exclude	misspelling/junk, must stay correctable
admins	admit	daily IT plural; admis n-insertion slip unlikely, disjoint contexts
admons	exclude	nonce clipping plural
adobes	exclude	nonce plural of a brand name, never typed
adts	exclude	acronym-plural debris
aduc	exclude	niche Windows console acronym, uppercase if ever
affined	exclude	nonce past participle
affines	exclude	ordinary adjective shared with French
affinity	exclude	generic English noun; French prose says affinité
aggressive	exclude	the classic doubled-g confusion with French agressive, must stay correctable
agps	exclude	niche positioning acronym typed uppercase
aiming	exclude	generic English gerund, not IT vocabulary
alg	exclude	ambiguous abbreviation, essentially never typed as a token
align	exclude	aligne one deletion away, common French verb form
aligned	exclude	French writes aligné; must stay correctable
aligns	exclude	French alignes one dropped-e away, a plausible slip on a common verb
alm	exclude	enterprise acronym written uppercase
aloha	exclude	historical protocol name, essentially never typed today
alternation	exclude	niche regex jargon; French prose says alternance
alts	exclude	marginal shorthand plural; arts nearby
ambles	exclude	not computing vocabulary
ammy	exclude	nonce string
ampte	exclude	junk string
analysts	exclude	French analystes one e-deletion away
anchors	admit	term of art in HTML and regex; French neighbors need multiple edits
ansel	exclude	obsolete charset acronym, never typed
apdu	exclude	niche smartcard acronym typed uppercase
apic	exclude	niche hardware acronym typed uppercase
apics	exclude	acronym-plural debris
apps	admit	extremely common term; appas archaic and disjoint
archies	exclude	obsolete tool plural, never typed
archived	exclude	one substitution from French archivé, must stay correctable
args	admit	core dev shorthand; arts g/t only vertically adjacent and contexts fully disjoint
arguement	exclude	misspelling of argument, must remain correctable
asic	exclude	hardware acronym written uppercase in practice
assembled	exclude	generic English participle, not distinctive IT vocabulary
assemblers	exclude	French prose says assembleurs
assembles	exclude	identical to a French verb form that must stay correctable
assemblies	admit	typed as-is in French .NET prose; assemblees accent slip not adjacent
assembly	admit	standard term in French IT prose (langage assembly, .NET assembly); neighbors low
assign	exclude	French assigne one dropped-e away, must stay correctable
assigned	exclude	generic English participle, aligned with assign
assigns	exclude	French assignes one dropped-e away; generic verb form otherwise
asts	exclude	compiler acronym plural typed uppercase
